PassengerId,Name,Sex,Age,Ticket,Seat
949,Abelseth Mr. Olaus Jorgensen,male,25,348122,B54
900,Abrahim Mrs. Joseph (Sophie Halaut Easu),female,18,2657,A34
970,Aldworth Mr. Charles Augustus,male,30,248744,C46
1046,Asplund Master. Filip Oscar,male,13,347077,L35
911,Assaf Khalil Mrs. Mariana (Miriam),female,45,2696,A45
909,Assaf Mr. Gerios,male,21,2692,A43
979,Badman Miss. Emily Louisa,female,18,A/4 31416,J11
978,Barry Miss. Julia,female,27,330844,C54
1010,Beattie Mr. Thomson,male,36,13050,K13
1035,Beauchamp Mr. Henry James,male,28,244358,K53
1048,Bird Miss. Ellen,female,29,PC 17483,L37
986,Birnbaum Mr. Jakob,male,25,13905,J33
954,Bjorklund Mr. Ernst Herbert,male,18,347090,C15
1050,Borebank Mr. John James,male,42,110489,L39
972,Boulos Master. Akar,male,6,2678,C48
1020,Bowenur Mr. Solomon,male,42,211535,K38
955,Bradley Miss. Bridget Delia,female,22,334914,C31
920,Brady Mr. John Bertram,male,41,113054,A54
990,Braf Miss. Elin Ester Maria,female,20,347471,J37
1058,Brandeis Mr. Emil,male,48,PC 17591,L47
1018,Brobeck Mr. Karl Rudolf,male,22,350045,K36
1005,Buckley Miss. Katherine,female,19,329944,J52
998,Buckley Mr. Daniel,male,21,330920,J45
940,Bucknell Mrs. William Robert (Emma Eliza Ward),female,60,11813,B45
958,Burns Miss. Mary Delia,female,18,330963,C34
929,Cacic Miss. Manda,female,21,315087,B34
899,Caldwell Mr. Albert Francis,male,26,248738,A33
1027,Carlsson Mr. Carl Robert,male,24,350409,K45
1015,Carver Mr. Alfred John,male,28,392095,K33
974,Case Mr. Howard Brown,male,49,19924,C50
1060,Cassebeer Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick),female,35,17770,L49
988,Cavendish Mrs. Tyrell William (Julia Florence Siegel),female,76,19877,J35
906,Chaffee Mrs. Herbert Fuller (Carrie Constance Toogood),female,47,W.E.P. 5734,A40
1011,Chapman Mrs. John Henry (Sara Elizabeth Lawry),female,29,SC/AH 29037,K14
951,Chaudanson Miss. Victorine,female,36,PC 17608,C12
938,Chevre Mr. Paul Romaine,male,45,PC 17594,B43
1007,Chronopoulos Mr. Demetrios,male,18,2680,J54
898,Connolly Miss. Kate,female,30,330972,A32
948,Cor Mr. Bartol,male,35,349230,B53
935,Corbett Mrs. Walter H (Irene Colvin),female,30,237249,B40
957,Corey Mrs. Percy C (Mary Phyllis Elizabeth Miller),female,35,F.C.C. 13534,C33
969,Cornell Mrs. Robert Clifford (Malvina Helen Lamson),female,55,11770,C45
941,Coutts Mrs. William (Winnie Minnie Treanor),female,36,C.A. 37671,B46
1040,Crafton Mr. John Bertram,male,35,113791,L14
1017,Cribb Miss. Laura Alice,female,17,371362,K35
919,Daher Mr. Shedid,male,23,2698,A53
1033,Daniels Miss. Sarah,female,33,113781,K51
984,Davidson Mrs. Thornton (Orian Hays),female,27,F.C. 12750,J31
1039,Davies Mr. Evan,male,22,SC/A4 23568,L13
901,Davies Mr. John Samuel,male,21,A/4 48871,A35
950,Davison Mr. Thomas Henry,male,35,386525,C11
924,Dean Mrs. Bertram (Eva Georgetta Light),female,33,C.A. 2315,B14
907,del Carlo Mrs. Sebastiano (Argenia Genovesi),female,24,SC/PARIS 2167,A41
975,Demetri Mr. Marinko,male,35,349238,C51
952,Dika Mr. Mirko,male,17,349232,C13
1026,Dintcheff Mr. Valtcho,male,43,349226,K44
971,Doyle Miss. Elizabeth,female,24,368702,C47
1030,Drapkin Miss. Jennie,female,23,SOTON/OQ 392083,K48
1047,Duquemin Mr. Joseph,male,24,S.O./P.P. 752,L36
1064,Dyker Mr. Adolf Fredrik,male,23,347072,L53
982,Dyker Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson),female,22,347072,J14
1042,Earnshaw Mrs. Boulton (Olive Potter),female,23,11767,L31
1004,Evans Miss. Edith Corse,female,36,PC 17531,J51
914,Flegenheim Mrs. Alfred (Antoinette),female,35,PC 17598,A48
994,Foley Mr. William,male,35,365235,J41
1059,Ford Mr. Edward Watson,male,18,W./C. 6608,L48
945,Fortune Miss. Ethel Flora,female,28,19950,B50
961,Fortune Mrs. Mark (Mary McDougald),female,60,19950,C37
933,Franklin Mr. Thomas Parham,male,35,113778,B38
966,Geiger Miss. Amalie,female,35,113503,C42
934,Goldsmith Mr. Nathan,male,41,SOTON/O.Q. 3101263,B39
1032,Goodwin Miss. Jessie Allis,female,10,CA 2144,K50
1031,Goodwin Mr. Charles Frederick,male,40,CA 2144,K49
1023,Gracie Col. Archibald IV,male,53,113780,K41
985,Guest Mr. Robert,male,35,376563,J32
931,Hee Mr. Ling,male,35,1601,B36
1061,Hellstrom Miss. Hilda Maria,female,22,7548,L50
1038,Hilliard Mr. Herbert Henry,male,35,17463,L12
896,Hirvonen Mrs. Alexander (Helga E Lindqvist),female,22,3101298,A15
944,Hocking Miss. Ellen Nellie,female,20,29105,B49
997,Holthen Mr. Johan Martin,male,28,C 4001,J44
905,Howard Mr. Benjamin,male,63,24065,A39
902,Ilieff Mr. Ylio,male,21,349220,A36
910,Ilmakangas Miss. Ida Livija,female,27,STON/O2. 3101270,A44
923,Jefferys Mr. Clifford Thomas,male,24,C.A. 31029,B13
995,Johansson Palmquist Mr. Oskar Leander,male,26,347070,J42
925,Johnston Mrs. Andrew G (Elizabeth Lily Watson),female,35,W./C. 6607,B15
903,Jones Mr. Charles Cresson,male,46,694,A37
932,Karun Mr. Franz,male,39,349256,B37
927,Katavelas Mr. Vassilios (Catavelas Vassilios),male,19,2682,B32
908,Keane Mr. Daniel,male,35,233734,A42
967,Keeping Mr. Edwin,male,33,113503,C43
892,Kelly Mr. James,male,34,330911,A11
1016,Kennedy Mr. John,male,35,368783,K34
977,Khalil Mr. Betros,male,35,2660,C53
1013,Kiernan Mr. John,male,35,367227,K31
936,Kimball Mrs. Edwin Nelson Jr (Gertrude Parsons),female,45,11753,B41
1057,Kink-Heilmann Mrs. Anton (Luise Heilmann),female,26,315153,L46
1045,Klasen Mrs. (Hulda Kristina Eugenia Lofqvist),female,36,350405,L34
